Strategy,Query_ID,Full_SSA_Time,Full_PRA_Time,Hybrid_SSA_Time,Hybrid_PRA_Time,Candidates,Pruning_Ratio,Recall_HSSA,Recall_HPRA,FullSSA_Count,HSSA_Count,HPRA_Count
MinRank c=5.0,4210,0.3956317901611328,0.39955902099609375,0.15073633193969727,0.13782930374145508,50,0.9180327868852459,1.0,1.0,1,3,3
MinRank c=10.0,7523,0.4086298942565918,0.38118410110473633,0.1949634552001953,0.16772222518920898,100,0.8360655737704918,1.0,1.0,1,1,1
MinRank c=10.0,4267,0.404552698135376,0.3783740997314453,0.18897628784179688,0.20300889015197754,100,0.8360655737704918,1.0,1.0,0,0,0
MinRank c=10.0,6363,0.41979122161865234,0.38544130325317383,0.1670856475830078,0.19025611877441406,100,0.8360655737704918,1.0,1.0,0,0,0
MinRank c=10.0,867,0.4594447612762451,0.41548681259155273,0.19952774047851562,0.17708253860473633,100,0.8360655737704918,1.0,1.0,0,0,0
MinRank c=10.0,4210,0.3865387439727783,0.3752632141113281,0.17000985145568848,0.20568013191223145,100,0.8360655737704918,1.0,1.0,1,3,3
MinRank c=20.0,7523,0.38524365425109863,0.4128530025482178,0.25005507469177246,0.23972797393798828,200,0.6721311475409837,1.0,1.0,1,1,1
MinRank c=20.0,4267,0.38834381103515625,0.39121484756469727,0.24133062362670898,0.2725253105163574,200,0.6721311475409837,1.0,1.0,0,0,0
MinRank c=20.0,6363,0.38952112197875977,0.3877546787261963,0.2629687786102295,0.234360933303833,200,0.6721311475409837,1.0,1.0,0,0,0
MinRank c=20.0,867,0.38356852531433105,0.38522839546203613,0.237168550491333,0.2748732566833496,200,0.6721311475409837,1.0,1.0,0,0,0
MinRank c=20.0,4210,0.39708709716796875,0.3791806697845459,0.24899768829345703,0.24442076683044434,200,0.6721311475409837,1.0,1.0,1,1,1
